"","variable","Heuchera_soltisii"
"1",67.5,0.0833333333333333333333333333333333333333333333
"2",73.75,0.0833333333333333333333333333333333333333333333
"3",73.5,0.0833333333333333333333333333333333333333333333
"4",63.5,0.0833333333333333333333333333333333333333333333
"5",61.5,0.0833333333333333333333333333333333333333333333
"6",58.75,0.0833333333333333333333333333333333333333333333
"7",57.5,0.0833333333333333333333333333333333333333333333
"8",63.5,0.0833333333333333333333333333333333333333333333
"9",67.5,0.0833333333333333333333333333333333333333333333
"10",66.5,0.0833333333333333333333333333333333333333333333
"11",64.75,0.0833333333333333333333333333333333333333333333
"12",66.5,0.0833333333333333333333333333333333333333333333
