"","variable","Heuchera_brevistaminea"
"1",56,0.0833333333333333333333333333333333333333333333
"2",63.5,0.0833333333333333333333333333333333333333333333
"3",62.25,0.0833333333333333333333333333333333333333333333
"4",62.5,0.0833333333333333333333333333333333333333333333
"5",60.5,0.0833333333333333333333333333333333333333333333
"6",62.25,0.0833333333333333333333333333333333333333333333
"7",62.25,0.0833333333333333333333333333333333333333333333
"8",62.5,0.0833333333333333333333333333333333333333333333
"9",61.5,0.0833333333333333333333333333333333333333333333
"10",49.5,0.0833333333333333333333333333333333333333333333
"11",58.5,0.0833333333333333333333333333333333333333333333
"12",58.5,0.0833333333333333333333333333333333333333333333
