"","variable","Heuchera_soltisii"
"1",51,0.0833333333333333333333333333333333333333333333
"2",37,0.0833333333333333333333333333333333333333333333
"3",33,0.0833333333333333333333333333333333333333333333
"4",42,0.0833333333333333333333333333333333333333333333
"5",51,0.0833333333333333333333333333333333333333333333
"6",76,0.0833333333333333333333333333333333333333333333
"7",83,0.0833333333333333333333333333333333333333333333
"8",38,0.0833333333333333333333333333333333333333333333
"9",36,0.0833333333333333333333333333333333333333333333
"10",37,0.0833333333333333333333333333333333333333333333
"11",44,0.0833333333333333333333333333333333333333333333
"12",43,0.0833333333333333333333333333333333333333333333
