"","variable","Heuchera_inconstans"
"1",47,0.1
"2",62,0.1
"3",67,0.1
"4",63,0.1
"5",66,0.1
"6",65,0.1
"7",68,0.1
"8",56,0.1
"9",66,0.1
"10",60,0.1
