"","variable","Heuchera_inconstans"
"1",43.5,0.1
"2",42.5,0.1
"3",46.5,0.1
"4",41,0.1
"5",44.25,0.1
"6",43,0.1
"7",40.5,0.1
"8",51.5,0.1
"9",41.25,0.1
"10",43.25,0.1
