"","variable","Heuchera_abramsii_avg"
"1",48,3.75944159496005e-05
"2",109.142857142857,0.000150806515518008
"3",170.285714285714,0.000187258994448435
"4",231.428571428571,0.000144483847882887
"5",292.571428571429,0.000117507739448033
"6",353.714285714286,6.97750407634269e-05
"7",414.857142857143,3.39559397188842e-05
"8",476,2.33547982176714e-05
"9",537.142857142857,1.37172090320036e-05
"10",598.285714285714,1.74703231972538e-05
"11",659.428571428571,1.7652367244075e-05
"12",720.571428571429,2.10269139713946e-05
"13",781.714285714286,2.20981508993183e-05
"14",842.857142857143,2.61923024821351e-05
"15",904,3.15672169972846e-05
"16",965.142857142857,3.84132489595623e-05
"17",1026.28571428571,6.28848759575388e-05
"18",1087.42857142857,0.00010998367697769
"19",1148.57142857143,0.000160306385273876
"20",1209.71428571429,0.000242585003156903
"21",1270.85714285714,0.000388040497572672
"22",1332,0.000617511839386871
"23",1393.14285714286,0.00103641857765173
"24",1454.28571428571,0.00143862445444515
"25",1515.42857142857,0.00235571574760654
"26",1576.57142857143,0.00599435533767088
"27",1637.71428571429,0.00690618628858178
"28",1698.85714285714,0.0113215566738052
"29",1760,0.00652736820540185
"30",1821.14285714286,0.00732086330619429
"31",1882.28571428571,0.00792677981360422
"32",1943.42857142857,0.0088285105935143
"33",2004.57142857143,0.0127658373312305
"34",2065.71428571429,0.0195522871035471
"35",2126.85714285714,0.031481258864117
"36",2188,0.0413002950011507
"37",2249.14285714286,0.0398664010949016
"38",2310.28571428571,0.0486688664824905
"39",2371.42857142857,0.0627815729838106
"40",2432.57142857143,0.113606504916288
"41",2493.71428571429,0.102173093083329
"42",2554.85714285714,0.0707542216740005
"43",2616,0.087147703136072
"44",2677.14285714286,0.0758331063156981
"45",2738.28571428571,0.0769896326739375
"46",2799.42857142857,0.0533846629439595
"47",2860.57142857143,0
"48",2921.71428571429,0.0282987973537046
"49",2982.85714285714,0
"50",3044,0.0732051927402314
