"","variable","Heuchera_parviflora_avg"
"1",2,1.15558680949658e-05
"2",2.75,0.000249087741997383
"3",3.5,0.000583202319511528
"4",4.25,0.00518012994162939
"5",5,0.0130778815404088
"6",5.75,0.0125634833750172
"7",6.5,0.0376262105399458
"8",7.25,0.0682853433991563
"9",8,0.0934236084308212
"10",8.75,0.0539771444431881
"11",9.5,0.157971437839153
"12",10.25,0.103352986013613
"13",11,0.0779281218513399
"14",11.75,0.091325096163271
"15",12.5,0.0688933052950313
"16",13.25,0.0519388244592502
"17",14,0.0353741476577215
"18",14.75,0.0384954893834709
"19",15.5,0.0146813585213277
"20",16.25,0.0208146553661951
"21",17,0.0170327336605569
"22",17.75,0.0101784329812551
"23",18.5,0.006277307695403
"24",19.25,0.0067260051032621
"25",20,0.00481721711375669
"26",20.75,0.00194305945419389
"27",21.5,0.00184915307452736
"28",22.25,0.00176889674668287
"29",23,0.000947476416705391
"30",23.75,0.000741794661670597
"31",24.5,0.000585485619818655
"32",25.25,0.000368595235698614
"33",26,0.000333359240396174
"34",26.75,0.000171471186886715
"35",27.5,0.000161418043337499
"36",28.25,6.80792240369473e-05
"37",29,0.000109476193355932
"38",29.75,8.15854400620726e-05
"39",30.5,3.27269908282779e-05
"40",31.25,2.50746168908127e-05
"41",32,1.57072089122424e-05
"42",32.75,1.18739416180404e-05
"43",33.5,0
"44",34.25,0
"45",35,0
"46",35.75,0
"47",36.5,0
"48",37.25,0
"49",38,0
"50",38.75,0
