"","variable","Heuchera_parviflora_avg"
"1",0,0.0142381974063628
"2",0.393422340860171,0.0944664983314318
"3",0.786844681720343,0.144132847936663
"4",1.18026702258051,0.136119079926011
"5",1.57368936344069,0.109462931182711
"6",1.96711170430086,0.0841950228976961
"7",2.36053404516103,0.0643561069373601
"8",2.7539563860212,0.0513140226514581
"9",3.14737872688137,0.041816435923839
"10",3.54080106774154,0.0346570932743547
"11",3.93422340860171,0.030007592433947
"12",4.32764574946189,0.0253042045292223
"13",4.72106809032206,0.0226628930969429
"14",5.11449043118223,0.0207462032677772
"15",5.5079127720424,0.0174106634907292
"16",5.90133511290257,0.0152033909715016
"17",6.29475745376274,0.0138292608183881
"18",6.68817979462291,0.0117033144026688
"19",7.08160213548309,0.0108039026515634
"20",7.47502447634326,0.00923380022338561
"21",7.86844681720343,0.00794423351286073
"22",8.2618691580636,0.00694732323893852
"23",8.65529149892377,0.00578664854016232
"24",9.04871383978394,0.00531373039856305
"25",9.44213618064411,0.00457772884524824
"26",9.83555852150429,0.00387763953193063
"27",10.2289808623645,0.00296504908039747
"28",10.6224032032246,0.00250687643548841
"29",11.0158255440848,0.0020212190928234
"30",11.409247884945,0.00152162996822847
"31",11.8026702258051,0.00116143339696753
"32",12.1960925666653,0.000982925498432037
"33",12.5895149075255,0.000665243333017292
"34",12.9829372483857,0.000547880815612561
"35",13.3763595892458,0.000561190556194259
"36",13.769781930106,0.000321995646095368
"37",14.1632042709662,0.000228261655232467
"38",14.5566266118263,0.000170594536788562
"39",14.9500489526865,8.86386991265838e-05
"40",15.3434712935467,5.83550808415018e-05
"41",15.7368936344069,3.00972435318549e-05
"42",16.130315975267,2.57839863541204e-05
"43",16.5237383161272,2.06248322555829e-05
"44",16.9171606569874,1.14337208953766e-05
"45",17.3105829978475,0
"46",17.7040053387077,0
"47",18.0974276795679,0
"48",18.4908500204281,0
"49",18.8842723612882,0
"50",19.2776947021484,0
