"","variable","Heuchera_inconstans"
"1",69.75,0.1
"2",65,0.1
"3",62.75,0.1
"4",67.75,0.1
"5",67.5,0.1
"6",67.75,0.1
"7",65.5,0.1
"8",70.75,0.1
"9",66.5,0.1
"10",69.75,0.1
