"","variable","Heuchera_eastwoodiae_avg"
"1",73,0.000659182383072181
"2",75.5918367346939,0.00234308759211757
"3",78.1836734693878,0.0141649963871014
"4",80.7755102040816,0.00850763851178177
"5",83.3673469387755,0.00842421784312429
"6",85.9591836734694,0.0141408981765615
"7",88.5510204081633,0.0137363003371994
"8",91.1428571428571,0.0212673031614859
"9",93.734693877551,0.0280559526406794
"10",96.3265306122449,0.0247651070010035
"11",98.9183673469388,0.0373522745772136
"12",101.510204081633,0.0284722007325735
"13",104.102040816327,0.0455911920108535
"14",106.69387755102,0.0393553340004284
"15",109.285714285714,0.0618933600915328
"16",111.877551020408,0.0602329260943704
"17",114.469387755102,0.0418163305520837
"18",117.061224489796,0.0631619500630498
"19",119.65306122449,0.0367423402753868
"20",122.244897959184,0.04681336920947
"21",124.836734693878,0.036926337033816
"22",127.428571428571,0.0249625885381793
"23",130.020408163265,0.0345897600554092
"24",132.612244897959,0.0210701550882552
"25",135.204081632653,0.0297304883867177
"26",137.795918367347,0.0269532619945583
"27",140.387755102041,0.0159420780335919
"28",142.979591836735,0.0216919093305577
"29",145.571428571429,0.0143185735568409
"30",148.163265306122,0.0203583159106029
"31",150.755102040816,0.019822762280929
"32",153.34693877551,0.0129031654828795
"33",155.938775510204,0.0199056288210615
"34",158.530612244898,0.011146332481005
"35",161.122448979592,0.0157513574289106
"36",163.714285714286,0.0149865665374463
"37",166.30612244898,0.00877379614053849
"38",168.897959183673,0.0112914316379655
"39",171.489795918367,0.00756729220337017
"40",174.081632653061,0.00887650907903675
"41",176.673469387755,0.00545546978427063
"42",179.265306122449,0.00760128557142377
"43",181.857142857143,0.00466562840764298
"44",184.448979591837,0.00277450940071863
"45",187.040816326531,0.00229317095606815
"46",189.632653061224,0.00085496532762155
"47",192.224489795918,0.000678295417120921
"48",194.816326530612,0.000265337540889286
"49",197.408163265306,0.000144711117448399
"50",200,0.000202354814034343
