"","variable","Telesonix_jamesii_avg"
"1",0,0.270703148321679
"2",2.04081632653061,0.00114698777966473
"3",4.08163265306122,0.000939391089117605
"4",6.12244897959184,0.00554267542647113
"5",8.16326530612245,0.00388531779299638
"6",10.2040816326531,0.00146233059711974
"7",12.2448979591837,0.0501144844454262
"8",14.2857142857143,0.0375589323675926
"9",16.3265306122449,0.0113909790900741
"10",18.3673469387755,0.0054435260607069
"11",20.4081632653061,0.00740209223920388
"12",22.4489795918367,0.0221712599502951
"13",24.4897959183673,0.0288476342997138
"14",26.530612244898,0.0463992906669313
"15",28.5714285714286,0.122616234255909
"16",30.6122448979592,0.0837200756362153
"17",32.6530612244898,0.0826667603440699
"18",34.6938775510204,0.0319095888354457
"19",36.734693877551,0.0715833625035035
"20",38.7755102040816,0.0093144526033906
"21",40.8163265306122,0.00503054715300989
"22",42.8571428571429,0.0034834825024954
"23",44.8979591836735,0.003002801580125
"24",46.9387755102041,0.00344309571753486
"25",48.9795918367347,0.036915999068089
"26",51.0204081632653,0.00347941501802897
"27",53.0612244897959,0.00392933141203814
"28",55.1020408163265,0.00435741768157182
"29",57.1428571428571,0.00422959885476356
"30",59.1836734693878,0.00441500930841052
"31",61.2244897959184,0.00306952106858223
"32",63.265306122449,0.00313049255938056
"33",65.3061224489796,0.00263649788907283
"34",67.3469387755102,0.00307415048101348
"35",69.3877551020408,0.00237521824708304
"36",71.4285714285714,0.00273085947417891
"37",73.469387755102,0.00180810375348856
"38",75.5102040816327,0.00187167557045892
"39",77.5510204081633,0.00149670187559476
"40",79.5918367346939,0.00128531924355426
"41",81.6326530612245,0.00422318695447382
"42",83.6734693877551,0.00171523055152103
"43",85.7142857142857,0.000827113995046763
"44",87.7551020408163,0.000419854305473518
"45",89.7959183673469,0.000515772486857336
"46",91.8367346938776,0.000643608180871002
"47",93.8775510204082,0.000254582716990587
"48",95.9183673469388,8.22251458919674e-05
"49",97.9591836734694,0.00041674542928548
"50",100,0.000317917469587843
