"","variable","Heuchera_grossulariifolia_avg"
"1",165,0.00204897681746698
"2",213,0.00957430714275139
"3",261,0.0336227630798376
"4",309,0.0438985483656518
"5",357,0.0627089821526056
"6",405,0.0864732398511805
"7",453,0.10826740171791
"8",501,0.122246645646899
"9",549,0.112804538809868
"10",597,0.116845663159611
"11",645,0.0801928250422793
"12",693,0.0579955639556474
"13",741,0.0454212986647924
"14",789,0.0301139332838455
"15",837,0.018890983624269
"16",885,0.0189159663592757
"17",933,0.0223752599992548
"18",981,0.0207198789544837
"19",1029,0.00451685543241106
"20",1077,0.000214223414139952
"21",1125,0.000148534219444813
"22",1173,0.000142853636468558
"23",1221,0.000125546663711062
"24",1269,0.000112588094717502
"25",1317,0.000111105032229071
"26",1365,0.000106242017064672
"27",1413,0.000101745018603686
"28",1461,9.81506734277235e-05
"29",1509,9.89579261680158e-05
"30",1557,8.9256910236707e-05
"31",1605,7.70699462528802e-05
"32",1653,5.85621762627228e-05
"33",1701,6.27216061773125e-05
"34",1749,5.27016397502617e-05
"35",1797,3.82279298842296e-05
"36",1845,4.16069251688701e-05
"37",1893,4.91544152939465e-05
"38",1941,5.54493394958176e-05
"39",1989,6.265501098823e-05
"40",2037,6.96639526528265e-05
"41",2085,6.44367920108843e-05
"42",2133,7.4468830266818e-05
"43",2181,0.000122218844810688
"44",2229,4.87910975932987e-05
"45",2277,6.20893551937568e-05
"46",2325,3.26627379050531e-05
"47",2373,2.0964408451248e-05
"48",2421,2.37193255890312e-05
"49",2469,0
"50",2517,0
