"","variable","Mitella_stauropetala_avg"
"1",-66,0
"2",-61.7755102040816,0
"3",-57.5510204081633,0
"4",-53.3265306122449,3.5737375623955e-05
"5",-49.1020408163265,9.17263948651167e-05
"6",-44.8775510204082,0.000202107067180067
"7",-40.6530612244898,0.000552018307244412
"8",-36.4285714285714,0.0011600496433587
"9",-32.2040816326531,0.00230274399147279
"10",-27.9795918367347,0.00501980440806033
"11",-23.7551020408163,0.00624882318799382
"12",-19.530612244898,0.00920135615287241
"13",-15.3061224489796,0.0134412324365867
"14",-11.0816326530612,0.025649848476224
"15",-6.85714285714286,0.026234620192967
"16",-2.6326530612245,0.0295607068981054
"17",1.59183673469387,0.0311640002512954
"18",5.81632653061224,0.0343932999248121
"19",10.0408163265306,0.0517348080817366
"20",14.265306122449,0.0437293742850767
"21",18.4897959183673,0.0445534389404759
"22",22.7142857142857,0.0458004738951526
"23",26.9387755102041,0.0600505749191863
"24",31.1632653061224,0.0488292697577903
"25",35.3877551020408,0.0512521029108303
"26",39.6122448979592,0.0498117572363452
"27",43.8367346938775,0.0494990925429474
"28",48.0612244897959,0.05567547028289
"29",52.2857142857143,0.0382884326047586
"30",56.5102040816326,0.0352737903306018
"31",60.734693877551,0.033244847409455
"32",64.9591836734694,0.0393576444500511
"33",69.1836734693877,0.0327572010975894
"34",73.4081632653061,0.0326917136712096
"35",77.6326530612245,0.0269423059301127
"36",81.8571428571428,0.0217628896696472
"37",86.0816326530612,0.0154960820307517
"38",90.3061224489796,0.00753338221929482
"39",94.530612244898,0.00568192579579814
"40",98.7551020408163,0.00549013473183318
"41",102.979591836735,0.00667396959975504
"42",107.204081632653,0.00431321553434873
"43",111.428571428571,0.00307865540944708
"44",115.65306122449,0.00282603883257262
"45",119.877551020408,0.00180609444099324
"46",124.102040816327,0.000574533131331411
"47",128.326530612245,9.30885729519098e-06
"48",132.551020408163,3.2239168302621e-06
"49",136.775510204082,1.72775229640642e-07
"50",141,0
