"","variable","Heuchera_soltisii"
"1",2621,0.0833333333333333333333333333333333333333333333
"2",2132,0.0833333333333333333333333333333333333333333333
"3",2020,0.0833333333333333333333333333333333333333333333
"4",2184,0.0833333333333333333333333333333333333333333333
"5",2469,0.0833333333333333333333333333333333333333333333
"6",3093,0.0833333333333333333333333333333333333333333333
"7",3166,0.0833333333333333333333333333333333333333333333
"8",2237,0.0833333333333333333333333333333333333333333333
"9",2194,0.0833333333333333333333333333333333333333333333
"10",2283,0.0833333333333333333333333333333333333333333333
"11",2377,0.0833333333333333333333333333333333333333333333
"12",2373,0.0833333333333333333333333333333333333333333333
