"","variable","Heuchera_inconstans"
"1",15.75,0.1
"2",16,0.1
"3",26.75,0.1
"4",18.25,0.1
"5",16,0.1
"6",21.75,0.1
"7",17,0.1
"8",44.75,0.1
"9",14.25,0.1
"10",20.25,0.1
