"","variable","Heuchera_soltisii"
"1",88,0.0833333333333333333333333333333333333333333333
"2",116,0.0833333333333333333333333333333333333333333333
"3",121,0.0833333333333333333333333333333333333333333333
"4",100,0.0833333333333333333333333333333333333333333333
"5",82,0.0833333333333333333333333333333333333333333333
"6",45,0.0833333333333333333333333333333333333333333333
"7",38,0.0833333333333333333333333333333333333333333333
"8",91,0.0833333333333333333333333333333333333333333333
"9",91,0.0833333333333333333333333333333333333333333333
"10",87,0.0833333333333333333333333333333333333333333333
"11",75,0.0833333333333333333333333333333333333333333333
"12",97,0.0833333333333333333333333333333333333333333333
