"","variable","Heuchera_soltisii"
"1",29.25,0.0833333333333333333333333333333333333333333333
"2",35.5,0.0833333333333333333333333333333333333333333333
"3",26.25,0.0833333333333333333333333333333333333333333333
"4",24.25,0.0833333333333333333333333333333333333333333333
"5",29.75,0.0833333333333333333333333333333333333333333333
"6",37.5,0.0833333333333333333333333333333333333333333333
"7",26.75,0.0833333333333333333333333333333333333333333333
"8",19.25,0.0833333333333333333333333333333333333333333333
"9",17.75,0.0833333333333333333333333333333333333333333333
"10",11.5,0.0833333333333333333333333333333333333333333333
"11",18,0.0833333333333333333333333333333333333333333333
"12",30.75,0.0833333333333333333333333333333333333333333333
