"","variable","Heuchera_soltisii"
"1",12.5,0.0833333333333333333333333333333333333333333333
"2",10.25,0.0833333333333333333333333333333333333333333333
"3",12,0.0833333333333333333333333333333333333333333333
"4",26.75,0.0833333333333333333333333333333333333333333333
"5",41.25,0.0833333333333333333333333333333333333333333333
"6",34,0.0833333333333333333333333333333333333333333333
"7",32.75,0.0833333333333333333333333333333333333333333333
"8",23.25,0.0833333333333333333333333333333333333333333333
"9",17.25,0.0833333333333333333333333333333333333333333333
"10",31.25,0.0833333333333333333333333333333333333333333333
"11",38.25,0.0833333333333333333333333333333333333333333333
"12",17.5,0.0833333333333333333333333333333333333333333333
