"","variable","Heuchera_inconstans"
"1",491,0.1
"2",647,0.1
"3",611,0.1
"4",562,0.1
"5",587,0.1
"6",580,0.1
"7",606,0.1
"8",418,0.1
"9",584,0.1
"10",517,0.1
