"","variable","Heuchera_inconstans"
"1",95,0.1
"2",81,0.1
"3",72,0.1
"4",112,0.1
"5",127,0.1
"6",91,0.1
"7",81,0.1
"8",73,0.1
"9",90,0.1
"10",121,0.1
