"","variable","Heuchera_pubescens_avg"
"1",6.75,0
"2",8.42857142857143,5.70390579126876e-05
"3",10.1071428571429,0.000332166385296114
"4",11.7857142857143,0.00207330322191781
"5",13.4642857142857,0.00382258502501823
"6",15.1428571428571,0.0074162992171492
"7",16.8214285714286,0.0130088203619596
"8",18.5,0.022364266815515
"9",20.1785714285714,0.0359163116529449
"10",21.8571428571429,0.0582892841456373
"11",23.5357142857143,0.0765067719263322
"12",25.2142857142857,0.104482592401023
"13",26.8928571428571,0.0823840985778772
"14",28.5714285714286,0.0955703061680197
"15",30.25,0.0646797496706277
"16",31.9285714285714,0.071660393410785
"17",33.6071428571429,0.0367089870253159
"18",35.2857142857143,0.0431319010550953
"19",36.9642857142857,0.0396964649102455
"20",38.6428571428571,0.0366917083920024
"21",40.3214285714286,0.0272537550334723
"22",42,0.0285979202544172
"23",43.6785714285714,0.0197409180419142
"24",45.3571428571429,0.0144943747060172
"25",47.0357142857143,0.015792388619389
"26",48.7142857142857,0.0160344855990926
"27",50.3928571428571,0.0103670959398648
"28",52.0714285714286,0.0102888561453203
"29",53.75,0.0111584466742136
"30",55.4285714285714,0.0105656821841326
"31",57.1071428571429,0.00902250881419168
"32",58.7857142857143,0.0091955599028549
"33",60.4642857142857,0.0073935452910663
"34",62.1428571428571,0.00458640756980145
"35",63.8214285714286,0.00376088710963077
"36",65.5,0.00244827388017337
"37",67.1785714285714,0.00161276129530866
"38",68.8571428571429,0.000839904463492786
"39",70.5357142857143,0.000898357128645031
"40",72.2142857142857,0.000440895479352294
"41",73.8928571428571,0.000267272172149013
"42",75.5714285714286,0.000191101266654573
"43",77.25,0.000131751360288136
"44",78.9285714285714,7.17548840196206e-05
"45",80.6071428571429,2.46538187619175e-05
"46",82.2857142857143,1.80079285429907e-05
"47",83.9642857142857,7.79148198786305e-06
"48",85.6428571428571,0
"49",87.3214285714286,1.59353456978872e-06
"50",89,0
