"","variable","Heuchera_versicolor_avg"
"1",0.25,1.95370953067975e-05
"2",2.22448979591837,0.00167848876539088
"3",4.19897959183673,0.0101515249348391
"4",6.1734693877551,0.0389344970452179
"5",8.14795918367347,0.0524754309283878
"6",10.1224489795918,0.0729334673515581
"7",12.0969387755102,0.0576028639069802
"8",14.0714285714286,0.0541308342297388
"9",16.0459183673469,0.0578303307486808
"10",18.0204081632653,0.0592055137456051
"11",19.9948979591837,0.0410783307124323
"12",21.969387755102,0.0526364058701246
"13",23.9438775510204,0.0521406211829631
"14",25.9183673469388,0.0434615119444038
"15",27.8928571428571,0.0344343440458438
"16",29.8673469387755,0.0438892208025434
"17",31.8418367346939,0.0462378400284212
"18",33.8163265306122,0.0380966264383398
"19",35.7908163265306,0.0437829466426831
"20",37.765306122449,0.048831693845623
"21",39.7397959183673,0.0360843428701542
"22",41.7142857142857,0.024610043997151
"23",43.6887755102041,0.0234311064430395
"24",45.6632653061224,0.0179300181952175
"25",47.6377551020408,0.0121614726006789
"26",49.6122448979592,0.0100091014738111
"27",51.5867346938776,0.00753829123267379
"28",53.5612244897959,0.00489908904970226
"29",55.5357142857143,0.0045043264025576
"30",57.5102040816327,0.00284380274070757
"31",59.484693877551,0.00239057401617956
"32",61.4591836734694,0.00166907872115597
"33",63.4336734693878,0.00130308935778627
"34",65.4081632653061,0.000731480574585798
"35",67.3826530612245,0.000275377185081562
"36",69.3571428571429,6.67748744337499e-05
"37",71.3316326530612,0
"38",73.3061224489796,0
"39",75.280612244898,0
"40",77.2551020408163,0
"41",79.2295918367347,0
"42",81.2040816326531,0
"43",83.1785714285714,0
"44",85.1530612244898,0
"45",87.1275510204082,0
"46",89.1020408163265,0
"47",91.0765306122449,0
"48",93.0510204081633,0
"49",95.0255102040816,0
"50",97,0
