"","variable","Heuchera_micrantha_avg"
"1",-101,0
"2",-95,0
"3",-89,0
"4",-83,0
"5",-77,0
"6",-71,0
"7",-65,0
"8",-59,0
"9",-53,0
"10",-47,0
"11",-41,1.47688798793126e-06
"12",-35,1.95197469349508e-05
"13",-29,3.64648805088021e-05
"14",-23,9.51489887032583e-05
"15",-17,0.000276577208246082
"16",-11,0.000697043927766808
"17",-5,0.00114766758879803
"18",1,0.00176404196302267
"19",7,0.0028067230805989
"20",13,0.00412455414019691
"21",19,0.00643399946030912
"22",25,0.010418816684546
"23",31,0.014485176360968
"24",37,0.0186093866205451
"25",43,0.0233021725163017
"26",49,0.0278219756963375
"27",55,0.0326403967978504
"28",61,0.0392182110954214
"29",67,0.0422715631456642
"30",73,0.0474349932296593
"31",79,0.0524750112384242
"32",85,0.0602317533634168
"33",91,0.0738915536970901
"34",97,0.0956700921074749
"35",103,0.0930388703717319
"36",109,0.0743125476289307
"37",115,0.0621946356686186
"38",121,0.037132359999145
"39",127,0.0326901810544869
"40",133,0.0344798761078442
"41",139,0.0399518985819511
"42",145,0.0328371158867282
"43",151,0.0157534172589356
"44",157,0.0106173095435262
"45",163,0.00811897808029808
"46",169,0.00244584298331422
"47",175,0.000373021768641036
"48",181,0.000154590339679452
"49",187,2.50342993960262e-05
"50",193,0
