"","variable","Heuchera_parishii_avg"
"1",118,4.98761113934924e-08
"2",134.816326530612,5.60426129828088e-07
"3",151.632653061224,1.07639427093312e-06
"4",168.448979591837,2.60753794774147e-06
"5",185.265306122449,4.62141121143858e-06
"6",202.081632653061,6.94281097565664e-06
"7",218.897959183673,6.25178061884934e-06
"8",235.714285714286,9.75462386827336e-06
"9",252.530612244898,1.80650224204218e-05
"10",269.34693877551,2.19075540902576e-05
"11",286.163265306122,3.62797495340722e-05
"12",302.979591836735,5.30711455347725e-05
"13",319.795918367347,6.91523280647998e-05
"14",336.612244897959,7.64653055001258e-05
"15",353.428571428571,0.000115592900223804
"16",370.244897959184,0.000127439810284705
"17",387.061224489796,0.000179949734813495
"18",403.877551020408,0.000223081979492887
"19",420.69387755102,0.000271442444981052
"20",437.510204081633,0.000420184406904888
"21",454.326530612245,0.000472051543178354
"22",471.142857142857,0.00102067500690777
"23",487.959183673469,0.00101188281432658
"24",504.775510204082,0.00205691206290292
"25",521.591836734694,0.00256411195942119
"26",538.408163265306,0.00384516987960647
"27",555.224489795918,0.00580375449047966
"28",572.040816326531,0.0119192986828566
"29",588.857142857143,0.0182711783705614
"30",605.673469387755,0.0370674308722527
"31",622.489795918367,0.042615575298559
"32",639.30612244898,0.109372388114815
"33",656.122448979592,0.138112545511699
"34",672.938775510204,0.0977083730277559
"35",689.755102040816,0.143679875606965
"36",706.571428571429,0.109478433028922
"37",723.387755102041,0.0647568446616997
"38",740.204081632653,0.0527744624700024
"39",757.020408163265,0.0369755719614107
"40",773.836734693877,0.0284173853512928
"41",790.65306122449,0.0196382239334622
"42",807.469387755102,0.0132545854528438
"43",824.285714285714,0.0196647990301554
"44",841.102040816327,0.0106824770275716
"45",857.918367346939,0.00929086337062969
"46",874.734693877551,0.00566822601048186
"47",891.551020408163,0.00644675170083926
"48",908.367346938775,0.00350956258745307
"49",925.183673469388,0.000976874169473891
"50",942,0.00143327903487172
