"","variable","Heuchera_longipetala_avg"
"1",-20,0
"2",-13.5714285714286,0
"3",-7.14285714285714,0
"4",-0.714285714285715,1.81646252852106e-05
"5",5.71428571428572,1.06350276248368e-05
"6",12.1428571428571,0
"7",18.5714285714286,0
"8",25,4.03473578888625e-05
"9",31.4285714285714,5.61829913661744e-05
"10",37.8571428571429,0.000145223753023271
"11",44.2857142857143,0.000325560891057427
"12",50.7142857142857,0.0004506356677436
"13",57.1428571428571,0.00100220935872645
"14",63.5714285714286,0.00132989871677697
"15",70,0.00221893600768969
"16",76.4285714285714,0.00237908675959877
"17",82.8571428571429,0.00415409728808977
"18",89.2857142857143,0.00518874584884014
"19",95.7142857142857,0.00804120264657296
"20",102.142857142857,0.0141828275919107
"21",108.571428571429,0.0172075653459698
"22",115,0.0339466127279804
"23",121.428571428571,0.0390020109453379
"24",127.857142857143,0.0575239365650997
"25",134.285714285714,0.0578508879031946
"26",140.714285714286,0.0695914809036954
"27",147.142857142857,0.0864212299404057
"28",153.571428571429,0.0752850453277941
"29",160,0.0860312569113318
"30",166.428571428571,0.070604900088497
"31",172.857142857143,0.0758604279039973
"32",179.285714285714,0.0565706820043444
"33",185.714285714286,0.0470610066503134
"34",192.142857142857,0.043419040316433
"35",198.571428571429,0.0320536181289829
"36",205,0.0283631168477511
"37",211.428571428571,0.0184070154649182
"38",217.857142857143,0.0180473806789888
"39",224.285714285714,0.0119265952381135
"40",230.714285714286,0.01013898812647
"41",237.142857142857,0.0103783178413927
"42",243.571428571429,0.0069414835818492
"43",250,0.00396749783733824
"44",256.428571428571,0.00164180856749613
"45",262.857142857143,0.00110873673103967
"46",269.285714285714,0.000572404920517878
"47",275.714285714286,0.00029366422653161
"48",282.142857142857,0.000174414535145769
"49",288.571428571429,5.83023466635227e-05
"50",295,6.81686021129019e-06
