"","variable","Heuchera_alba_avg"
"1",884,0.00353278892046861
"2",898.428571428571,0.0194363456435086
"3",912.857142857143,0.0375156798708951
"4",927.285714285714,0.0423129716832296
"5",941.714285714286,0.0461362795093025
"6",956.142857142857,0.0501476817644037
"7",970.571428571429,0.0438680705330468
"8",985,0.0493264631993434
"9",999.428571428571,0.0393355471351767
"10",1013.85714285714,0.0415695473538739
"11",1028.28571428571,0.0414053919265764
"12",1042.71428571429,0.0445874413644682
"13",1057.14285714286,0.041861555972915
"14",1071.57142857143,0.0361399071569327
"15",1086,0.0332694723620416
"16",1100.42857142857,0.0318934368170839
"17",1114.85714285714,0.033234239248455
"18",1129.28571428571,0.0259191074804685
"19",1143.71428571429,0.0244675996051099
"20",1158.14285714286,0.0218144559310998
"21",1172.57142857143,0.0192014256851924
"22",1187,0.0211683247041251
"23",1201.42857142857,0.0185025646014435
"24",1215.85714285714,0.0210268531516924
"25",1230.28571428571,0.0176330193843422
"26",1244.71428571429,0.0192856160212739
"27",1259.14285714286,0.0188324170059919
"28",1273.57142857143,0.0167839707987247
"29",1288,0.0173874359498681
"30",1302.42857142857,0.0176994466020076
"31",1316.85714285714,0.0180963899745075
"32",1331.28571428571,0.0139762543118607
"33",1345.71428571429,0.0122583430918505
"34",1360.14285714286,0.0104102272317986
"35",1374.57142857143,0.00716913712249991
"36",1389,0.00617484070280937
"37",1403.42857142857,0.00561494032635453
"38",1417.85714285714,0.00405282481122024
"39",1432.28571428571,0.00328763191681965
"40",1446.71428571429,0.00348546952310921
"41",1461.14285714286,0.00376046943504464
"42",1475.57142857143,0.00447081158264082
"43",1490,0.00360303751824863
"44",1504.42857142857,0.00269106233986399
"45",1518.85714285714,0.00202862086282686
"46",1533.28571428571,0.00170734955426849
"47",1547.71428571429,0.000959785233169446
"48",1562.14285714286,0.000623069233561972
"49",1576.57142857143,0.000307755499122613
"50",1591,2.69223453609084e-05
