"","variable","Heuchera_mexicana_avg"
"1",1,0.000505901920208848
"2",111.448979591837,0.00358111373310431
"3",221.897959183673,0.00871647271532578
"4",332.34693877551,0.00903008372353276
"5",442.795918367347,0.00951021657498326
"6",553.244897959184,0.011536877696906
"7",663.69387755102,0.0117348424579026
"8",774.142857142857,0.0131232800613166
"9",884.591836734694,0.0139788905824233
"10",995.040816326531,0.0158512767464026
"11",1105.48979591837,0.0178710670044709
"12",1215.9387755102,0.0216370427053533
"13",1326.38775510204,0.0263825811016935
"14",1436.83673469388,0.0311638920069878
"15",1547.28571428571,0.0389518584098185
"16",1657.73469387755,0.0406756322734456
"17",1768.18367346939,0.0488743696216884
"18",1878.63265306122,0.0576174525778485
"19",1989.08163265306,0.0698164457646805
"20",2099.5306122449,0.0778279735822514
"21",2209.97959183673,0.0836183734527406
"22",2320.42857142857,0.0851936913539389
"23",2430.87755102041,0.0860523171535825
"24",2541.32653061224,0.076905917099591
"25",2651.77551020408,0.0586900454375388
"26",2762.22448979592,0.0327899985252663
"27",2872.67346938776,0.018695508629198
"28",2983.12244897959,0.01088427932061
"29",3093.57142857143,0.00664794539368522
"30",3204.02040816327,0.00429806975075987
"31",3314.4693877551,0.00275888648962095
"32",3424.91836734694,0.00198804912263301
"33",3535.36734693878,0.00148174235590394
"34",3645.81632653061,0.00113777862804928
"35",3756.26530612245,0.000555000113487733
"36",3866.71428571429,0.000251214297597923
"37",3977.16326530612,9.84186528687835e-05
"38",4087.61224489796,0
"39",4198.0612244898,0
"40",4308.51020408163,0
"41",4418.95918367347,0
"42",4529.40816326531,0
"43",4639.85714285714,0
"44",4750.30612244898,0
"45",4860.75510204082,0
"46",4971.20408163265,0
"47",5081.65306122449,0
"48",5192.10204081633,0
"49",5302.55102040816,0
"50",5413,0
