"","variable","Heuchera_parvifolia_avg"
"1",75,0
"2",96.6734693877551,7.57186047565267e-06
"3",118.34693877551,2.45073445931682e-05
"4",140.020408163265,0.000123753155004867
"5",161.69387755102,0.000320983693034495
"6",183.367346938776,0.000886100576606669
"7",205.040816326531,0.00285064057043658
"8",226.714285714286,0.00799904507132451
"9",248.387755102041,0.0227452440062069
"10",270.061224489796,0.0367260421469177
"11",291.734693877551,0.0444600898026958
"12",313.408163265306,0.0514434167440708
"13",335.081632653061,0.0611898051063679
"14",356.755102040816,0.0678893315414206
"15",378.428571428571,0.0706315728215745
"16",400.102040816327,0.0663734335686352
"17",421.775510204082,0.0632241029117981
"18",443.448979591837,0.0567885103577566
"19",465.122448979592,0.0485658595196412
"20",486.795918367347,0.0461678083973706
"21",508.469387755102,0.0429006759891784
"22",530.142857142857,0.0377758953269427
"23",551.816326530612,0.0368711613586262
"24",573.489795918367,0.0342661692582001
"25",595.163265306122,0.0312368655745965
"26",616.836734693878,0.0263031269297452
"27",638.510204081633,0.0242630737089094
"28",660.183673469388,0.0214942622945985
"29",681.857142857143,0.0182410243620194
"30",703.530612244898,0.0162551738052699
"31",725.204081632653,0.0134921384869246
"32",746.877551020408,0.0105093192157141
"33",768.551020408163,0.00839928361702774
"34",790.224489795918,0.00616703980598264
"35",811.897959183673,0.00411135617693969
"36",833.571428571429,0.00340351752079689
"37",855.244897959184,0.00277406586630552
"38",876.918367346939,0.0023219295222348
"39",898.591836734694,0.0021405251969233
"40",920.265306122449,0.00193148584078551
"41",941.938775510204,0.00188178685896346
"42",963.612244897959,0.00154397656060769
"43",985.285714285714,0.00131503476778939
"44",1006.95918367347,0.000971301917298976
"45",1028.63265306122,0.000617562461747614
"46",1050.30612244898,0.000298928568821254
"47",1071.97959183673,8.69861394573119e-05
"48",1093.65306122449,8.5136716615829e-06
"49",1115.32653061224,0
"50",1137,0
