"","variable","Heuchera_mexicana_avg"
"1",-1,0
"2",4.77551020408163,0
"3",10.5510204081633,0
"4",16.3265306122449,0
"5",22.1020408163265,0
"6",27.8775510204082,0
"7",33.6530612244898,0
"8",39.4285714285714,0
"9",45.2040816326531,0
"10",50.9795918367347,0
"11",56.7551020408163,6.15567538442566e-06
"12",62.530612244898,4.55206440382577e-05
"13",68.3061224489796,0.000206980366672262
"14",74.0816326530612,0.000422172454679893
"15",79.8571428571429,0.000900009243172888
"16",85.6326530612245,0.00133107617625482
"17",91.4081632653061,0.00221170642805684
"18",97.1836734693878,0.00438157454481941
"19",102.959183673469,0.00705805472530332
"20",108.734693877551,0.0174067498840804
"21",114.510204081633,0.0302068161097655
"22",120.285714285714,0.0444219945583347
"23",126.061224489796,0.0468782675551536
"24",131.836734693878,0.0637422046032503
"25",137.612244897959,0.0684886945536324
"26",143.387755102041,0.0700460083796762
"27",149.163265306122,0.0672644064001737
"28",154.938775510204,0.056901836107434
"29",160.714285714286,0.0694061783306275
"30",166.489795918367,0.0676145985398093
"31",172.265306122449,0.0650274887832904
"32",178.040816326531,0.0501736488402152
"33",183.816326530612,0.0492274083217076
"34",189.591836734694,0.0390687292605685
"35",195.367346938776,0.0328884449823807
"36",201.142857142857,0.0286633665838809
"37",206.918367346939,0.0202821193857419
"38",212.69387755102,0.0219873690576216
"39",218.469387755102,0.0170750575351445
"40",224.244897959184,0.0130020270048132
"41",230.020408163265,0.00945978757492488
"42",235.795918367347,0.0105899193799984
"43",241.571428571429,0.0102810180815695
"44",247.34693877551,0.00853384306015028
"45",253.122448979592,0.00470502449506408
"46",258.897959183673,9.37423726086548e-05
"47",264.673469387755,0
"48",270.448979591837,0
"49",276.224489795918,0
"50",282,0
