"","variable","Heuchera_bracteata_avg"
"1",1598,4.1183610414836e-05
"2",1653.12244897959,0.000673205335153339
"3",1708.24489795918,0.00126342023301836
"4",1763.36734693878,0.00275359541649432
"5",1818.48979591837,0.00705237696174343
"6",1873.61224489796,0.00686410592722438
"7",1928.73469387755,0.0132611543686162
"8",1983.85714285714,0.0130641105502293
"9",2038.97959183673,0.0149785327054056
"10",2094.10204081633,0.0212063378407483
"11",2149.22448979592,0.0250050098430516
"12",2204.34693877551,0.0283904152629222
"13",2259.4693877551,0.0337301874185482
"14",2314.59183673469,0.0389370565640818
"15",2369.71428571429,0.0419977099771846
"16",2424.83673469388,0.0479341409661693
"17",2479.95918367347,0.0461684646511474
"18",2535.08163265306,0.0484090359985129
"19",2590.20408163265,0.0314943046370439
"20",2645.32653061224,0.0460638080784155
"21",2700.44897959184,0.0395255783650331
"22",2755.57142857143,0.0363154531211274
"23",2810.69387755102,0.0328304763730645
"24",2865.81632653061,0.0310919358645163
"25",2920.9387755102,0.0315836461555034
"26",2976.0612244898,0.0325860681171646
"27",3031.18367346939,0.0377499497810875
"28",3086.30612244898,0.0342173540565432
"29",3141.42857142857,0.0257600402089937
"30",3196.55102040816,0.0323783545737904
"31",3251.67346938776,0.0290880403269958
"32",3306.79591836735,0.0273770786573081
"33",3361.91836734694,0.0256577996962679
"34",3417.04081632653,0.0225094613891058
"35",3472.16326530612,0.0193805253877094
"36",3527.28571428571,0.0167900672979178
"37",3582.40816326531,0.0138686951930721
"38",3637.5306122449,0.0143688716773309
"39",3692.65306122449,0.00874514512417151
"40",3747.77551020408,0.00499946683305625
"41",3802.89795918367,0.00448125347037247
"42",3858.02040816327,0.002659138493209
"43",3913.14285714286,0.00265324569315677
"44",3968.26530612245,0.00234193726652319
"45",4023.38775510204,0.000853880186255699
"46",4078.51020408163,0.00043803810537441
"47",4133.63265306122,0.000189166908950563
"48",4188.75510204082,0.000236050044600264
"49",4243.87755102041,3.51252856724485e-05
"50",4299,0
