"","variable","Mitella_nuda_avg"
"1",37,0
"2",37.9285714285714,0
"3",38.8571428571429,0
"4",39.7857142857143,0
"5",40.7142857142857,0
"6",41.6428571428571,0
"7",42.5714285714286,0
"8",43.5,0.000105394836451102
"9",44.4285714285714,0.000299785024861443
"10",45.3571428571429,0.00133831293736374
"11",46.2857142857143,0.00493900528287806
"12",47.2142857142857,0.00807315156392695
"13",48.1428571428571,0.0216547746084008
"14",49.0714285714286,0.0359913706914039
"15",50,0.0151334813178935
"16",50.9285714285714,0.0467950524732307
"17",51.8571428571429,0.0528843477881822
"18",52.7857142857143,0.0576230142576474
"19",53.7142857142857,0.0593042005462759
"20",54.6428571428571,0.066392889606822
"21",55.5714285714286,0.0766960286115134
"22",56.5,0.0779351955661296
"23",57.4285714285714,0.0826597488771599
"24",58.3571428571429,0.0739778173615918
"25",59.2857142857143,0.0627162015214757
"26",60.2142857142857,0.042365177023265
"27",61.1428571428571,0.0470575537149863
"28",62.0714285714286,0.0379341338270709
"29",63,0.0115252148111626
"30",63.9285714285714,0.0222157261175255
"31",64.8571428571429,0.0208830790811871
"32",65.7857142857143,0.0132505883390337
"33",66.7142857142857,0.00867511752065853
"34",67.6428571428571,0.00731366342126712
"35",68.5714285714286,0.00601286642844687
"36",69.5,0.00521779459621907
"37",70.4285714285714,0.00538588267745342
"38",71.3571428571429,0.00502502694176472
"39",72.2857142857143,0.00383185640079868
"40",73.2142857142857,0.00393773173305536
"41",74.1428571428571,0.00438846716048074
"42",75.0714285714286,0.00357702251721733
"43",76,0.00109111097689033
"44",76.9285714285714,0.00236463417855681
"45",77.8571428571429,0.00133474382248445
"46",78.7857142857143,0.000659283192572545
"47",79.7142857142857,0.000309677356050883
"48",80.6428571428571,1.29172489706135e-05
"49",81.5714285714286,0
"50",82.5,0
