"","variable","Heuchera_soltisii"
"1",48.75,0.0833333333333333333333333333333333333333333333
"2",38.5,0.0833333333333333333333333333333333333333333333
"3",37,0.0833333333333333333333333333333333333333333333
"4",54.5,0.0833333333333333333333333333333333333333333333
"5",48,0.0833333333333333333333333333333333333333333333
"6",56.75,0.0833333333333333333333333333333333333333333333
"7",55.25,0.0833333333333333333333333333333333333333333333
"8",55.5,0.0833333333333333333333333333333333333333333333
"9",49,0.0833333333333333333333333333333333333333333333
"10",48.5,0.0833333333333333333333333333333333333333333333
"11",49.75,0.0833333333333333333333333333333333333333333333
"12",52.5,0.0833333333333333333333333333333333333333333333
