"","variable","Heuchera_richardsonii_avg"
"1",-86,0
"2",-81.0816326530612,0
"3",-76.1632653061225,0
"4",-71.2448979591837,0
"5",-66.3265306122449,0
"6",-61.4081632653061,0
"7",-56.4897959183673,0
"8",-51.5714285714286,3.17631879006101e-05
"9",-46.6530612244898,0.000169409588606877
"10",-41.734693877551,0.00103714269906145
"11",-36.8163265306122,0.00464661241158912
"12",-31.8979591836735,0.00445044167221736
"13",-26.9795918367347,0.00272784198064716
"14",-22.0612244897959,0.00194265741047007
"15",-17.1428571428571,0.00218873556919222
"16",-12.2244897959184,0.00266865498749844
"17",-7.30612244897959,0.00257206724068584
"18",-2.38775510204081,0.00343718540022261
"19",2.53061224489795,0.0041633772575621
"20",7.44897959183673,0.00439763186298896
"21",12.3673469387755,0.02314066234614
"22",17.2857142857143,0.0396488440009196
"23",22.2040816326531,0.0508608242078244
"24",27.1224489795918,0.0349575137235218
"25",32.0408163265306,0.0337065576187811
"26",36.9591836734694,0.0355489925324718
"27",41.8775510204082,0.0351560343043251
"28",46.7959183673469,0.0384510352781624
"29",51.7142857142857,0.0470190948100254
"30",56.6326530612245,0.0508327232300146
"31",61.5510204081633,0.0495913075118885
"32",66.469387755102,0.0477860106139582
"33",71.3877551020408,0.0385785454615711
"34",76.3061224489796,0.0308456673106648
"35",81.2244897959184,0.0406229989394213
"36",86.1428571428571,0.043074973422051
"37",91.0612244897959,0.0279815058852292
"38",95.9795918367347,0.0326256693980659
"39",100.897959183673,0.0273866072215167
"40",105.816326530612,0.0268403036908296
"41",110.734693877551,0.0240025893507191
"42",115.65306122449,0.0293239860322587
"43",120.571428571429,0.035347230969879
"44",125.489795918367,0.0381867939453988
"45",130.408163265306,0.043569661722489
"46",135.326530612245,0.0201952335820774
"47",140.244897959184,0.0141118650034158
"48",145.163265306122,0.0052820167191525
"49",150.081632653061,0.000891229898584416
"50",155,0
