"","variable","menziesii_avg"
"1",-101,0
"2",-96.469387755102,0
"3",-91.9387755102041,0
"4",-87.4081632653061,0
"5",-82.8775510204082,0
"6",-78.3469387755102,0
"7",-73.8163265306122,0
"8",-69.2857142857143,4.6741945022785e-07
"9",-64.7551020408163,0
"10",-60.2244897959184,0
"11",-55.6938775510204,6.71405655392566e-08
"12",-51.1632653061224,3.75507058595028e-07
"13",-46.6326530612245,0
"14",-42.1020408163265,1.85627561844852e-06
"15",-37.5714285714286,2.87104001929904e-06
"16",-33.0408163265306,9.58524780000924e-06
"17",-28.5102040816327,7.62969667198187e-06
"18",-23.9795918367347,2.42504084150864e-05
"19",-19.4489795918367,4.36343134234069e-05
"20",-14.9183673469388,0.000104721027543452
"21",-10.3877551020408,0.000146825623527235
"22",-5.85714285714286,0.000308633051495436
"23",-1.32653061224489,0.000455730036200709
"24",3.20408163265307,0.00114117425504323
"25",7.73469387755102,0.00215658236027376
"26",12.265306122449,0.0035217968028241
"27",16.7959183673469,0.005408663960422
"28",21.3265306122449,0.00587482513788124
"29",25.8571428571429,0.00902774731218953
"30",30.3877551020408,0.00931600211287769
"31",34.9183673469388,0.0124629941879265
"32",39.4489795918367,0.0113525840021686
"33",43.9795918367347,0.0167478532566558
"34",48.5102040816327,0.0157271668433267
"35",53.0408163265306,0.0221205636784517
"36",57.5714285714286,0.0209356973967275
"37",62.1020408163265,0.0325822209441481
"38",66.6326530612245,0.0324372178563671
"39",71.1632653061225,0.0458645648234465
"40",75.6938775510204,0.0423187411188202
"41",80.2244897959184,0.0644515201526145
"42",84.7551020408163,0.080530015608511
"43",89.2857142857143,0.0802587071685681
"44",93.8163265306123,0.136927281207802
"45",98.3469387755102,0.119696361657028
"46",102.877551020408,0.110165144506406
"47",107.408163265306,0.051473274211595
"48",111.938775510204,0.0485689485954605
"49",116.469387755102,0.0165830223672487
"50",121,0.00190542704084424
