"","variable","Heuchera_abramsii_avg"
"1",37,0.0732051927402314
"2",40,0
"3",43,0
"4",46,0.0570748769578538
"5",49,0.066504611177716
"6",52,0.0438508929824967
"7",55,0.0890813566923218
"8",58,0.10501410782694
"9",61,0.111343486593484
"10",64,0.069689666697583
"11",67,0.0833057552734067
"12",70,0.061343853247064
"13",73,0.0547560373070303
"14",76,0.0367396993859955
"15",79,0.0211166920835871
"16",82,0.0251130529950357
"17",85,0.025089197057365
"18",88,0.0116969845342056
"19",91,0.00819719895297457
"20",94,0.00763482514664595
"21",97,0.00868491911195544
"22",100,0.00732216964746248
"23",103,0.00744440596447262
"24",106,0.00903173869233494
"25",109,0.00616863610665631
"26",112,0.00250294124752912
"27",115,0.00213503490879067
"28",118,0.00157521227569478
"29",121,0.00122024938154129
"30",124,0.000631641671341553
"31",127,0.000487603049930718
"32",130,0.000355940395136381
"33",133,0.000263055721487496
"34",136,0.000170245124470519
"35",139,0.00015117771878726
"36",142,7.86997428509532e-05
"37",145,6.21040506288162e-05
"38",148,4.77481668632329e-05
"39",151,3.40761374344552e-05
"40",154,2.89678461309247e-05
"41",157,2.64038482772197e-05
"42",160,2.02572286849002e-05
"43",163,2.57482197664618e-05
"44",166,2.58763295421657e-05
"45",169,4.6364946593928e-05
"46",172,0.000155455942051129
"47",175,0.000223370980939922
"48",178,0.000267446646132421
"49",181,4.8566300222076e-05
"50",184,6.45494435205943e-06
