"","variable","Heuchera_puberula_avg"
"1",0,0.687956353942124
"2",1.40816326530612,0.0158035272300249
"3",2.81632653061224,0.0266159682083668
"4",4.22448979591837,0.012984994702379
"5",5.63265306122449,0.0387986682716595
"6",7.04081632653061,0.0163605810380691
"7",8.44897959183674,0.0460639606460221
"8",9.85714285714286,0.0113241868630732
"9",11.265306122449,0.0222315741806277
"10",12.6734693877551,0.0207797821587394
"11",14.0816326530612,0.0107577498524348
"12",15.4897959183673,0.0185585224361497
"13",16.8979591836735,0.00944196909357172
"14",18.3061224489796,0.0133038190495024
"15",19.7142857142857,0.00674559309740276
"16",21.1224489795918,0.00504226865789663
"17",22.530612244898,0.00923232634698469
"18",23.9387755102041,0.00282854792319646
"19",25.3469387755102,0.00484870554743805
"20",26.7551020408163,0.00208890190427214
"21",28.1632653061224,0.00210972110342422
"22",29.5714285714286,0.00354846363078018
"23",30.9795918367347,0.00153480358817997
"24",32.3877551020408,0.00230623350745918
"25",33.7959183673469,0.00109382429016088
"26",35.2040816326531,0.000651096612403081
"27",36.6122448979592,0.00162313964997691
"28",38.0204081632653,0.000549990027235485
"29",39.4285714285714,0.00114165808925704
"30",40.8367346938776,0.000541939843007117
"31",42.2448979591837,0.00029373877581922
"32",43.6530612244898,0.00080730008927221
"33",45.0612244897959,0.000262786503538406
"34",46.469387755102,0.000523261674469021
"35",47.8775510204082,0.000258535858193353
"36",49.2857142857143,0.000277150178058799
"37",50.6938775510204,0.000225685688716161
"38",52.1020408163265,0.000107893709216635
"39",53.5102040816327,0.000374776030896632
"40",54.9183673469388,0
"41",56.3265306122449,0
"42",57.734693877551,0
"43",59.1428571428571,0
"44",60.5510204081633,0
"45",61.9591836734694,0
"46",63.3673469387755,0
"47",64.7755102040816,0
"48",66.1836734693878,0
"49",67.5918367346939,0
"50",69,0
