"","variable","Heuchera_inconstans"
"1",2000,0.1
"2",2253,0.1
"3",2266,0.1
"4",1819,0.1
"5",1600,0.1
"6",2120,0.1
"7",2133,0.1
"8",2127,0.1
"9",2045,0.1
"10",1828,0.1
