"","variable","Heuchera_acutifolia_avg"
"1",0,0.647423490052935
"2",1.93877551020408,0.0163699083482503
"3",3.87755102040816,0.0332375771822468
"4",5.81632653061224,0.028633462324762
"5",7.75510204081633,0.0325155433228562
"6",9.69387755102041,0.0300314673537828
"7",11.6326530612245,0.0187362685943476
"8",13.5714285714286,0.0313839169150622
"9",15.5102040816327,0.0325469561997218
"10",17.4489795918367,0.0228954659154954
"11",19.3877551020408,0.0167661274926972
"12",21.3265306122449,0.0155295108686934
"13",23.265306122449,0.0126776047940471
"14",25.2040816326531,0.0116021067988189
"15",27.1428571428571,0.0110224663146396
"16",29.0816326530612,0.00877991684386852
"17",31.0204081632653,0.00341911479631642
"18",32.9591836734694,0.00591263459486427
"19",34.8979591836735,0.00477722427938444
"20",36.8367346938776,0.0024855604756354
"21",38.7755102040816,0.00214175957485646
"22",40.7142857142857,0.00161376971003633
"23",42.6530612244898,0.00137046430968453
"24",44.5918367346939,0.00119064103822939
"25",46.530612244898,0.000832228966220368
"26",48.469387755102,0.00072167391555636
"27",50.4081632653061,0.000540802971055286
"28",52.3469387755102,0.000514217803481075
"29",54.2857142857143,0.000523238411095303
"30",56.2244897959184,0.000706467106447039
"31",58.1632653061224,0.000713469215719157
"32",60.1020408163265,0.000412217524486663
"33",62.0408163265306,0.000432585987996855
"34",63.9795918367347,0.000166687433937887
"35",65.9183673469388,0.000251615202436511
"36",67.8571428571429,0.000182085545602431
"37",69.7959183673469,0.000199272828389187
"38",71.734693877551,0.000182108285608156
"39",73.6734693877551,6.67812516314925e-05
"40",75.6122448979592,0.000153301345109363
"41",77.5510204081633,0.000116141902010078
"42",79.4897959183673,4.11805903255565e-05
"43",81.4285714285714,3.29034096617649e-05
"44",83.3673469387755,0.000134668991567016
"45",85.3061224489796,1.33932104304374e-05
"46",87.2448979591837,0
"47",89.1836734693878,0
"48",91.1224489795918,0
"49",93.0612244897959,0
"50",95,0
