"","variable","Heuchera_brevistaminea"
"1",532,0.0833333333333333333333333333333333333333333333
"2",1830,0.0833333333333333333333333333333333333333333333
"3",1730,0.0833333333333333333333333333333333333333333333
"4",1768,0.0833333333333333333333333333333333333333333333
"5",1646,0.0833333333333333333333333333333333333333333333
"6",1239,0.0833333333333333333333333333333333333333333333
"7",1637,0.0833333333333333333333333333333333333333333333
"8",1465,0.0833333333333333333333333333333333333333333333
"9",1643,0.0833333333333333333333333333333333333333333333
"10",1262,0.0833333333333333333333333333333333333333333333
"11",1344,0.0833333333333333333333333333333333333333333333
"12",1383,0.0833333333333333333333333333333333333333333333
