"","variable","Mitella_nuda_avg"
"1",13.5,0
"2",15,0
"3",16.5,0
"4",18,4.57836652472577e-05
"5",19.5,0.000126114758675067
"6",21,0.000197563401016162
"7",22.5,0.000301109350896927
"8",24,0.000495504686476316
"9",25.5,0.00109758738149182
"10",27,0.00156244844810213
"11",28.5,0.00320078403689039
"12",30,0.00390194016188752
"13",31.5,0.00739262839733183
"14",33,0.0084169376425631
"15",34.5,0.01464392173815
"16",36,0.0293609730330241
"17",37.5,0.0463769683243431
"18",39,0.0530611076900946
"19",40.5,0.0562182100178551
"20",42,0.0697876924079512
"21",43.5,0.0558457372545863
"22",45,0.0643464234285056
"23",46.5,0.0500416629109637
"24",48,0.052345239307443
"25",49.5,0.0423300816252332
"26",51,0.0423000410440559
"27",52.5,0.046739527060534
"28",54,0.0457433322966947
"29",55.5,0.0432120951937274
"30",57,0.0416972446473701
"31",58.5,0.0415114231401581
"32",60,0.0407910962825033
"33",61.5,0.0334130356788918
"34",63,0.0209471286255177
"35",64.5,0.0205035950399
"36",66,0.0190858362941641
"37",67.5,0.0176453837733345
"38",69,0.0111794790540815
"39",70.5,0.00693167198705416
"40",72,0.00392271182404438
"41",73.5,0.00207248157620045
"42",75,0.000718122851745217
"43",76.5,0.000341455528820115
"44",78,0.00011895187878276
"45",79.5,2.89665536915192e-05
"46",81,0
"47",82.5,0
"48",84,0
"49",85.5,0
"50",87,0
