"","variable","diplomenziesii_avg"
"1",0,0.00898646186241188
"2",0.487263231861349,0.0231464565166517
"3",0.974526463722698,0.0281109442252359
"4",1.46178969558405,0.0345172899523375
"5",1.9490529274454,0.0385391115622022
"6",2.43631615930675,0.0416810114218812
"7",2.92357939116809,0.046540951003323
"8",3.41084262302944,0.0511100415062197
"9",3.89810585489079,0.0555972991924195
"10",4.38536908675214,0.0559379312283572
"11",4.87263231861349,0.0540751983098291
"12",5.35989555047484,0.0522454701524107
"13",5.84715878233619,0.0512040131539816
"14",6.33442201419754,0.048517864379335
"15",6.82168524605889,0.045892604056463
"16",7.30894847792023,0.0433222480455103
"17",7.79621170978158,0.0402439793868551
"18",8.28347494164293,0.038003280284729
"19",8.77073817350428,0.0329769478031336
"20",9.25800140536563,0.0308161308025051
"21",9.74526463722698,0.0267576146035439
"22",10.2325278690883,0.0240110132026825
"23",10.7197911009497,0.0216154255846169
"24",11.207054332811,0.0186833634319443
"25",11.6943175646724,0.0159276117455586
"26",12.1815807965337,0.0131374533577374
"27",12.6688440283951,0.0113501304871807
"28",13.1561072602564,0.00936901670493607
"29",13.6433704921178,0.00765163001628369
"30",14.1306337239791,0.00671960157152949
"31",14.6178969558405,0.00545195597434103
"32",15.1051601877018,0.00401564780584928
"33",15.5924234195632,0.00310742547261097
"34",16.0796866514245,0.00249346068247497
"35",16.5669498832859,0.00200492658969617
"36",17.0542131151472,0.0014739013658517
"37",17.5414763470086,0.00106736541070835
"38",18.0287395788699,0.000972862024431405
"39",18.5160028107313,0.000740222259325891
"40",19.0032660425926,0.000537097373455254
"41",19.490529274454,0.000425228840607809
"42",19.9777925063153,0.000382560938740821
"43",20.4650557381767,0.000291035676135843
"44",20.952318970038,7.70148401828892e-05
"45",21.4395822018994,0.000113723011880286
"46",21.9268454337607,6.37772598764272e-05
"47",22.4141086656221,3.25142556619019e-05
"48",22.9013718974834,2.05003629809427e-05
"49",23.3886351293448,3.84682720520943e-05
"50",23.8758983612061,2.21603133014919e-06
