"","variable","Heuchera_inconstans"
"1",35.75,0.1
"2",42.75,0.1
"3",40.75,0.1
"4",37,0.1
"5",26,0.1
"6",37,0.1
"7",40.25,0.1
"8",19,0.1
"9",38,0.1
"10",17.75,0.1
